order_line_id,source_order_item_id,order_id,source_order_id,customer_id,source_customer_id,product_card_id,product_name,product_category_id,category_name,department_id,department_name,quantity,product_price,item_total,sales,discount,discount_rate,profit,profit_ratio,product_status,product_image
OL077757,77757,O031115,31115,C000980,639,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,2,50.00,96.00,100.00,4.00,0.0400,33.60,0.3500,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL114401,114401,O045766,45766,C000607,9702,627,Under Armour Girls' Toddler Spine Surge Runni,29,Shop By Sport,5,Golf,2,39.99,75.98,79.98,4.00,0.0500,24.69,0.3300,0,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe
OL090273,90273,O036146,36146,C001343,3296,278,Under Armour Men's Compression EV SL Slide,13,Electronics,3,Footwear,2,44.99,74.68,89.98,15.30,0.1700,22.41,0.3000,0,http://images.acmesports.sports/Under+Armour+Men%27s+Compression+EV+SL+Slide
OL080250,80250,O032090,32090,C001312,7864,365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,2,59.99,117.58,119.98,2.40,0.0200,30.57,0.2600,0,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
OL110025,110025,O044046,44046,C000391,5197,191,Nike Men's Free 5.0+ Running Shoe,9,Cardio Equipment,3,Footwear,3,99.99,263.97,299.97,36.00,0.1200,-184.78,-0.7000,0,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe
OL116033,116033,O046414,46414,C000411,1535,627,Under Armour Girls' Toddler Spine Surge Runni,29,Shop By Sport,5,Golf,3,39.99,113.97,119.97,6.00,0.0500,38.75,0.3400,0,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe
OL032072,32072,O012827,12827,C000370,542,191,Nike Men's Free 5.0+ Running Shoe,9,Cardio Equipment,3,Footwear,3,99.99,293.97,299.97,6.00,0.0200,129.35,0.4400,0,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe
OL156394,156394,O062571,62571,C000450,9353,365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,3,59.99,167.37,179.97,12.60,0.0700,43.52,0.2600,0,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
OL162007,162007,O064813,64813,C001747,10018,627,Under Armour Girls' Toddler Spine Surge Runni,29,Shop By Sport,5,Golf,3,39.99,107.97,119.97,12.00,0.1000,12.20,0.1100,0,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe
OL031344,31344,O012525,12525,C000342,4936,917,Glove It Women's Mod Oval 3-Zip Carry All Gol,41,Trade-In,6,Outdoors,3,21.99,55.41,65.97,10.56,0.1600,7.76,0.1400,0,http://images.acmesports.sports/Glove+It+Women%27s+Mod+Oval+3-Zip+Carry+All+Golf+Bag
OL140970,140970,O056359,56359,C000164,1025,365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,3,59.99,178.17,179.97,1.80,0.0100,-285.07,-1.6000,0,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
OL133456,133456,O053413,53413,C001087,376,365,Perfect Fitness Perfect Rip Deck,17,Cleats,4,Apparel,3,59.99,152.97,179.97,27.00,0.1500,47.88,0.3100,0,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck
OL019707,19707,O007888,7888,C001806,5417,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,3,50.00,150.00,150.00,0.00,0.0000,72.00,0.4800,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
OL016956,16956,O006783,6783,C001713,10759,627,Under Armour Girls' Toddler Spine Surge Runni,29,Shop By Sport,5,Golf,3,39.99,115.17,119.97,4.80,0.0400,29.94,0.2600,0,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe
OL137932,137932,O055155,55155,C001627,3752,502,Nike Men's Dri-FIT Victory Golf Polo,24,Women's Apparel,5,Golf,3,50.00,139.50,150.00,10.50,0.0700,43.66,0.3100,0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo
