fulfillment_event_id,order_id,customer_id,source_customer_id,event_date,event_type,severity,root_cause,resolution_status
FUL000001,O000010,C000068,5648,2023-07-09,carrier_delay,High,Carrier route delay,Open
FUL000002,O001000,C001598,2321,2023-07-23,carrier_delay,High,Carrier route delay,Open
FUL000003,O010017,C001204,5125,2023-12-02,carrier_delay,High,Carrier route delay,Open
FUL000004,O010019,C001130,5671,2023-12-02,carrier_delay,High,Carrier route delay,Open
FUL000005,O010025,C000930,4959,2023-12-02,carrier_delay,High,Carrier route delay,Open
FUL000006,O010028,C000995,8125,2023-12-02,carrier_delay,High,Carrier route delay,Open
FUL000007,O010029,C001880,787,2023-12-02,carrier_delay,High,Carrier route delay,Open
FUL000008,O010030,C001237,1848,2023-12-02,carrier_delay,High,Carrier route delay,Open
FUL000009,O010037,C000618,7802,2023-12-02,carrier_delay,High,Carrier route delay,Open
FUL000010,O010049,C001653,11789,2023-12-02,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000011,O001005,C001532,7958,2023-07-23,carrier_delay,High,Carrier route delay,Open
FUL000012,O010050,C001476,6253,2023-12-02,carrier_delay,High,Carrier route delay,Open
FUL000013,O010054,C000315,1979,2023-12-02,carrier_delay,High,Carrier route delay,Open
FUL000014,O010058,C000753,5033,2023-12-02,carrier_delay,High,Carrier route delay,Open
FUL000015,O010065,C001611,1889,2023-12-02,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000016,O010069,C000530,1739,2023-12-02,carrier_delay,High,Carrier route delay,Open
FUL000017,O010094,C000397,5755,2023-12-03,carrier_delay,High,Carrier route delay,Open
FUL000018,O010103,C000399,8368,2023-12-03,carrier_delay,High,Carrier route delay,Open
FUL000019,O010116,C001934,1180,2023-12-03,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000020,O010119,C000219,7305,2023-12-03,carrier_delay,High,Carrier route delay,Open
FUL000021,O010124,C001119,6023,2023-12-03,carrier_delay,High,Carrier route delay,Open
FUL000022,O010129,C000060,5053,2023-12-03,carrier_delay,High,Carrier route delay,Open
FUL000023,O010135,C001637,3406,2023-12-03,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000024,O010146,C000667,5085,2023-12-04,cancellation_review,Medium,Customer or fulfillment cancellation,Closed
FUL000025,O010148,C000513,2417,2023-12-04,carrier_delay,High,Carrier route delay,Open
FUL000026,O010153,C001761,2728,2023-12-04,carrier_delay,High,Carrier route delay,Open
FUL000027,O010155,C000644,12238,2023-12-04,carrier_delay,High,Carrier route delay,Open
FUL000028,O010159,C001801,2467,2023-12-04,carrier_delay,High,Carrier route delay,Open
FUL000029,O010163,C000428,8812,2023-12-04,carrier_delay,High,Carrier route delay,Open
FUL000030,O010165,C001390,9463,2023-12-04,carrier_delay,High,Carrier route delay,Open
FUL000031,O010169,C001233,10631,2023-12-04,carrier_delay,High,Carrier route delay,Open
FUL000032,O001017,C000307,3781,2023-07-23,carrier_delay,High,Carrier route delay,Open
FUL000033,O010175,C001645,8631,2023-12-04,carrier_delay,High,Carrier route delay,Open
FUL000034,O010188,C001758,10289,2023-12-04,carrier_delay,High,Carrier route delay,Open
FUL000035,O010189,C000218,12221,2023-12-04,carrier_delay,High,Carrier route delay,Open
FUL000036,O010190,C000212,4659,2023-12-04,carrier_delay,High,Carrier route delay,Open
FUL000037,O010199,C001581,3617,2023-12-04,carrier_delay,High,Carrier route delay,Open
FUL000038,O001020,C001125,4815,2023-07-23,carrier_delay,High,Carrier route delay,Open
FUL000039,O010205,C001352,12061,2023-12-04,carrier_delay,High,Carrier route delay,Open
FUL000040,O010209,C001275,4665,2023-12-05,carrier_delay,High,Carrier route delay,Open
FUL000041,O010220,C000173,1599,2023-12-05,carrier_delay,High,Carrier route delay,Open
FUL000042,O010221,C000755,2833,2023-12-05,carrier_delay,High,Carrier route delay,Open
FUL000043,O010253,C001007,8398,2023-12-05,carrier_delay,High,Carrier route delay,Open
FUL000044,O010254,C001800,6585,2023-12-05,carrier_delay,High,Carrier route delay,Open
FUL000045,O010255,C000421,7123,2023-12-05,carrier_delay,High,Carrier route delay,Open
FUL000046,O010261,C001110,4109,2023-12-05,carrier_delay,High,Carrier route delay,Open
FUL000047,O010265,C000990,12253,2023-12-05,carrier_delay,High,Carrier route delay,Open
